366,268,69
370,297,51
355,310,41
324,332,25
269,376,10
241,393,2
180,425,-13
145,436,-27
84,464,-50
22,478,-76
2,487,-90
-11,489,-95
-22,493,-105
-27,494,-112
-28,491,-117
-25,482,-130
-22,481,-136
-11,473,-141
1,465,-141
18,458,-152
41,448,-152
67,440,-150
84,431,-153
102,421,-151
122,415,-152
149,409,-149
167,395,-148
182,390,-145
197,381,-140
209,372,-139
218,369,-132
231,367,-128
239,358,-120
239,353,-113
245,349,-108
249,345,-108
249,343,-100
249,342,-91
248,333,-88
244,335,-81
247,334,-76
251,335,-69
250,331,-63
248,326,-62
252,324,-55
253,329,-55
257,322,-47
259,317,-43
258,312,-48
265,309,-48
260,304,-47
267,297,-46
274,295,-45
276,286,-45
285,281,-48
289,278,-51
292,271,-58
297,263,-58
303,259,-59
303,251,-62
311,245,-65
313,237,-65
314,232,-72
320,226,-76
323,219,-81
319,212,-81
325,204,-86
322,198,-88
324,191,-91
321,192,-89
317,179,-93
319,175,-99
320,173,-97
318,168,-99
323,169,-99
325,162,-104
326,159,-104
327,153,-100
327,152,-99
326,147,-97
332,144,-100
332,141,-102
336,134,-101
339,136,-94
345,134,-94
347,128,-93
350,129,-89
359,123,-79
362,119,-81
366,119,-82
380,115,-70
387,111,-69
401,104,-51
408,93,-50
429,91,-35
437,83,-28
456,77,-15
458,75,-9
466,67,-9
482,65,7
500,52,17
504,49,20
506,43,24
514,41,26
525,36,32
528,30,35
530,33,39
540,28,40
535,29,43
544,26,47
543,24,47
542,25,47
540,14,50
541,22,48
539,19,50
539,22,50
534,20,47
536,22,48
528,21,43
522,20,41
522,24,40
514,22,40
513,25,38
508,28,32
510,24,33
501,25,33
503,24,26
506,30,27
500,31,27
497,37,20
497,32,23
494,34,18
495,36,14
496,40,15
497,40,18
489,46,11
483,50,10
480,47,11
483,41,9
485,38,10
491,34,7
503,29,11
503,22,9
527,1,11
528,0,10
533,0,11
545,-17,15
557,-34,24
556,-32,25
568,-34,30
573,-42,31
574,-45,30
575,-49,34
578,-54,41
594,-66,49
597,-68,52
604,-69,50
602,-78,54
608,-78,59
613,-84,61
616,-86,58
617,-87,66
624,-89,67
627,-92,71
631,-95,68
638,-103,73
638,-109,69
643,-110,68
650,-118,72
649,-122,71
655,-126,75
656,-129,75
656,-127,68
652,-136,69
659,-139,75
662,-146,73
663,-154,70
666,-151,71
668,-158,73
668,-166,73
679,-171,79
682,-176,76
685,-181,76
691,-181,83
694,-183,82
699,-190,88
701,-195,88
711,-196,94
713,-197,97
716,-201,95
718,-203,96
718,-207,100
726,-207,106
728,-220,117
755,-221,119
756,-235,119
758,-236,118
761,-237,118
754,-242,115
756,-238,115
763,-240,114
763,-242,114
771,-247,117
775,-250,114
774,-248,118
774,-250,116
786,-248,116
783,-251,119
781,-253,117
789,-253,119
789,-251,125
782,-258,116
786,-257,124
789,-256,122
789,-257,122
790,-262,124
794,-259,125
795,-255,125
799,-261,128
796,-268,121
793,-268,121
797,-265,119
802,-270,119
801,-269,120
800,-268,118
798,-274,115
803,-267,113
798,-266,107
794,-271,105
790,-265,102
788,-269,94
782,-271,93
780,-269,87
769,-274,79
749,-280,50
741,-280,53
742,-285,44
741,-283,40
741,-285,39
738,-290,36
738,-290,37
737,-292,31
736,-298,30
734,-297,29
738,-297,23
736,-300,20
740,-303,19
739,-307,16
742,-310,17
741,-309,16
750,-312,14
751,-313,16
750,-313,20
753,-317,20
754,-322,21
754,-324,26
769,-334,34
772,-334,39
772,-334,43
779,-338,42
778,-342,49
783,-343,59
785,-346,58
785,-351,64
789,-360,70
797,-357,75
802,-359,80
803,-367,84
805,-363,91
811,-371,95
812,-375,101
834,-389,127
837,-392,132
837,-400,139
844,-398,143
854,-399,149
853,-408,148
858,-415,155
858,-420,162
854,-424,166
858,-419,168
855,-425,171
857,-430,174
863,-431,180
865,-435,185
865,-433,184
866,-436,189
864,-441,199
866,-439,197
867,-437,198
867,-448,200
875,-452,202
863,-462,207
863,-460,206
856,-458,206
853,-457,206
854,-459,200
852,-458,201
844,-460,203
843,-455,200
836,-461,206
838,-460,205
855,-445,206
854,-456,203
814,-468,193
800,-463,187
793,-445,182
784,-455,184
790,-460,171
775,-453,169
768,-452,166
767,-446,168
755,-454,164
739,-451,157
727,-447,147
718,-447,145
710,-444,137
703,-445,137
701,-445,130
695,-451,123
692,-448,123
685,-444,115
681,-448,108
679,-451,109
672,-448,103
633,-447,70
623,-444,56
627,-444,53
627,-443,59
619,-435,51
611,-428,50
605,-444,48
593,-459,43
603,-447,44
624,-431,50
607,-435,42
580,-435,30
580,-435,28
578,-423,26
572,-412,26
574,-422,18
562,-454,28
550,-449,31
559,-438,26
541,-432,17
496,-426,-5
473,-413,-11
468,-411,-12
477,-411,-10
476,-418,-11
474,-426,-9
474,-429,-11
472,-429,-15
478,-423,-14
478,-421,-24
484,-431,-25
506,-434,-15
517,-424,-11
494,-443,-13
456,-452,-13
466,-445,-22
451,-421,-26
422,-411,-36
419,-421,-34
425,-432,-20
437,-426,-18
437,-419,-11
439,-423,-7
440,-427,-6
439,-428,-4
451,-419,4
458,-422,7
459,-420,11
467,-420,16
474,-422,18
473,-407,38
514,-394,82
532,-390,89
512,-390,81
494,-384,80
498,-370,80
475,-353,85
466,-347,88
482,-360,98
498,-359,113
498,-358,122
505,-357,132
511,-362,139
511,-350,140
514,-341,152
522,-341,156
528,-340,166
538,-326,177
557,-323,187
548,-321,191
546,-328,197
542,-299,207
540,-302,203
535,-293,199
532,-292,201
532,-294,198
538,-294,199
542,-294,197
540,-298,192
543,-283,184
544,-293,184
548,-317,189
540,-310,188
572,-308,188
577,-317,182
539,-332,172
530,-343,170
533,-330,165
512,-312,151
487,-312,137
483,-330,133
484,-329,125
482,-330,123
478,-341,118
474,-353,111
466,-358,100
467,-358,88
452,-370,52
454,-374,48
447,-379,43
446,-380,33
445,-384,31
445,-393,29
436,-396,16
429,-402,4
430,-410,5
410,-403,-7
397,-405,-8
402,-414,-12
393,-407,-17
375,-407,-27
383,-419,-23
398,-422,-24
384,-427,-26
380,-433,-31
383,-436,-39
376,-439,-37
383,-465,-34
390,-461,-35
401,-456,-34
399,-449,-41
393,-457,-37
393,-464,-37
406,-464,-31
413,-464,-32
413,-470,-34
418,-476,-31
427,-476,-26
432,-480,-24
435,-484,-21
436,-477,-19
439,-469,-18
445,-477,-9
448,-474,-8
459,-476,6
464,-475,14
469,-469,19
469,-471,27
477,-465,32
480,-469,54
492,-460,63
498,-457,70
503,-452,78
506,-454,88
510,-449,96
519,-447,109
526,-441,114
527,-441,125
531,-434,140
541,-429,149
548,-422,154
547,-420,165
548,-417,172
556,-414,175
557,-414,186
562,-407,190
562,-399,199
567,-403,205
570,-398,207
571,-396,217
569,-392,220
577,-386,228
576,-391,230
581,-391,238
586,-377,246
585,-384,248
586,-378,246
585,-370,249
584,-367,250
589,-353,256
583,-356,259
575,-360,259
579,-358,261
581,-351,262
584,-352,262
584,-351,262
583,-348,266
580,-341,264
573,-335,259
566,-337,258
566,-340,260
567,-338,263
564,-339,262
560,-334,258
558,-332,257
553,-328,251
555,-332,249
551,-325,248
